time,event,node_id,packet_id,reservation_id,frame_type,detail
0.0,RESERVATION_START,2,1500,day12-existing-flow:packet-1500:segment-0:request-1,,"requested_k=2, effective_k=2, cw_init=15"
0.0,PR_REQ_TX,2,1500,day12-existing-flow:packet-1500:segment-0:request-1,PR_REQ,"2->3, link_index=0"
0.00028900000000000003,PR_REQ_RX,3,1500,day12-existing-flow:packet-1500:segment-0:request-1,PR_REQ,"from=2, link_index=0"
0.00029900000000000006,PR_REQ_TX,3,1500,day12-existing-flow:packet-1500:segment-0:request-1,PR_REQ,"3->4, link_index=1"
0.0005880000000000001,PR_REQ_RX,4,1500,day12-existing-flow:packet-1500:segment-0:request-1,PR_REQ,"from=3, link_index=1"
0.0005980000000000001,PR_ACK_TX,4,1500,day12-existing-flow:packet-1500:segment-0:request-1,PR_ACK,"4->3, reverse_index=1"
0.0007910000000000001,PR_ACK_RX,3,1500,day12-existing-flow:packet-1500:segment-0:request-1,PR_ACK,"from=4, reverse_index=1"
0.0008010000000000002,PR_ACK_TX,3,1500,day12-existing-flow:packet-1500:segment-0:request-1,PR_ACK,"3->2, reverse_index=0"
0.000994,PR_ACK_RX,2,1500,day12-existing-flow:packet-1500:segment-0:request-1,PR_ACK,"from=3, reverse_index=0"
0.000994,RESERVATION_ACTIVE,2,1500,day12-existing-flow:packet-1500:segment-0:request-1,,"endpoint=4, links=2, expires_at=0.020994000s"
0.000994,RETRY_SEQUENCE_START,0,1501,day12-retry-flow:packet-1501:segment-0:request-2,,"retry_id=day12-retry-flow:packet-1501:segment-0:retry-sequence-1, retry_limit=7"
0.000994,RETRY_ATTEMPT_SCHEDULED,0,1501,day12-retry-flow:packet-1501:segment-0:request-2,,"retry_id=day12-retry-flow:packet-1501:segment-0:retry-sequence-1, attempt=1, cw=15, backoff_slots=0, backoff_delay=0.000000000s"
0.000994,RETRY_ATTEMPT_START,0,1501,day12-retry-flow:packet-1501:segment-0:request-2,,"attempt=1, cw=15, backoff_slots=0"
0.000994,RESERVATION_START,0,1501,day12-retry-flow:packet-1501:segment-0:request-2,,"requested_k=2, effective_k=2, cw_init=15"
0.000994,PR_REQ_TX,0,1501,day12-retry-flow:packet-1501:segment-0:request-2,PR_REQ,"0->1, link_index=0"
0.001283,PR_REQ_RX,1,1501,day12-retry-flow:packet-1501:segment-0:request-2,PR_REQ,"from=0, link_index=0"
0.001293,PR_REQ_TX,1,1501,day12-retry-flow:packet-1501:segment-0:request-2,PR_REQ,"1->2, link_index=1"
0.001582,PR_REQ_RX,2,1501,day12-retry-flow:packet-1501:segment-0:request-2,PR_REQ,"from=1, link_index=1"
0.001582,RESERVATION_CONFLICT,2,1501,day12-retry-flow:packet-1501:segment-0:request-2,,"NODE_CONFLICT: resource=node-2; existing=day12-existing-flow:packet-1500:segment-0:request-1; candidate=[0.001582000,0.021582000); existing_window=[0.000994000,0.020994000)"
0.001592,PR_NACK_TX,2,1501,day12-retry-flow:packet-1501:segment-0:request-2,PR_NACK,"2->1, reverse_index=1; NODE_CONFLICT: resource=node-2; existing=day12-existing-flow:packet-1500:segment-0:request-1; candidate=[0.001582000,0.021582000); existing_window=[0.000994000,0.020994000)"
0.0017850000000000001,PR_NACK_RX,1,1501,day12-retry-flow:packet-1501:segment-0:request-2,PR_NACK,"from=2, reverse_index=1"
0.0017950000000000002,PR_NACK_TX,1,1501,day12-retry-flow:packet-1501:segment-0:request-2,PR_NACK,"1->0, reverse_index=0; NODE_CONFLICT: resource=node-2; existing=day12-existing-flow:packet-1500:segment-0:request-1; candidate=[0.001582000,0.021582000); existing_window=[0.000994000,0.020994000)"
0.0019,RELEASE_TX,2,1500,day12-existing-flow:packet-1500:segment-0:request-1,RELEASE,"2->3, link_index=0"
0.001988,PR_NACK_RX,0,1501,day12-retry-flow:packet-1501:segment-0:request-2,PR_NACK,"from=1, reverse_index=0"
0.001988,RESERVATION_REJECTED,0,1501,day12-retry-flow:packet-1501:segment-0:request-2,,"NODE_CONFLICT: resource=node-2; existing=day12-existing-flow:packet-1500:segment-0:request-1; candidate=[0.001582000,0.021582000); existing_window=[0.000994000,0.020994000)"
0.001988,RETRY_BACKOFF_START,0,1501,day12-retry-flow:packet-1501:segment-0:request-2,,"retry_id=day12-retry-flow:packet-1501:segment-0:retry-sequence-1, next_attempt=2, retry_number=1, cw=31, backoff_slots=20, backoff_delay=0.000450000s"
0.002061,RELEASE_RX,3,1500,day12-existing-flow:packet-1500:segment-0:request-1,RELEASE,"from=2, link_index=0"
0.002071,RELEASE_TX,3,1500,day12-existing-flow:packet-1500:segment-0:request-1,RELEASE,"3->4, link_index=1"
0.002232,RELEASE_RX,4,1500,day12-existing-flow:packet-1500:segment-0:request-1,RELEASE,"from=3, link_index=1"
0.002232,RESERVATION_RELEASED,4,1500,day12-existing-flow:packet-1500:segment-0:request-1,,released_at=0.002232000s
0.002438,RETRY_ATTEMPT_SCHEDULED,0,1501,day12-retry-flow:packet-1501:segment-0:request-3,,"retry_id=day12-retry-flow:packet-1501:segment-0:retry-sequence-1, attempt=2, cw=31, backoff_slots=20, backoff_delay=0.000450000s"
0.002438,RETRY_ATTEMPT_START,0,1501,day12-retry-flow:packet-1501:segment-0:request-3,,"attempt=2, cw=31, backoff_slots=20"
0.002438,RESERVATION_START,0,1501,day12-retry-flow:packet-1501:segment-0:request-3,,"requested_k=2, effective_k=2, cw_init=31"
0.002438,PR_REQ_TX,0,1501,day12-retry-flow:packet-1501:segment-0:request-3,PR_REQ,"0->1, link_index=0"
0.0027270000000000003,PR_REQ_RX,1,1501,day12-retry-flow:packet-1501:segment-0:request-3,PR_REQ,"from=0, link_index=0"
0.0027370000000000003,PR_REQ_TX,1,1501,day12-retry-flow:packet-1501:segment-0:request-3,PR_REQ,"1->2, link_index=1"
0.0030260000000000005,PR_REQ_RX,2,1501,day12-retry-flow:packet-1501:segment-0:request-3,PR_REQ,"from=1, link_index=1"
0.0030360000000000005,PR_ACK_TX,2,1501,day12-retry-flow:packet-1501:segment-0:request-3,PR_ACK,"2->1, reverse_index=1"
0.0032290000000000005,PR_ACK_RX,1,1501,day12-retry-flow:packet-1501:segment-0:request-3,PR_ACK,"from=2, reverse_index=1"
0.0032390000000000006,PR_ACK_TX,1,1501,day12-retry-flow:packet-1501:segment-0:request-3,PR_ACK,"1->0, reverse_index=0"
0.0034320000000000006,PR_ACK_RX,0,1501,day12-retry-flow:packet-1501:segment-0:request-3,PR_ACK,"from=1, reverse_index=0"
0.0034320000000000006,RESERVATION_ACTIVE,0,1501,day12-retry-flow:packet-1501:segment-0:request-3,,"endpoint=2, links=2, expires_at=0.023432000s"
0.0034320000000000006,RETRY_SEQUENCE_SUCCEEDED,0,1501,day12-retry-flow:packet-1501:segment-0:request-3,,"retry_id=day12-retry-flow:packet-1501:segment-0:retry-sequence-1, attempts=2, retries_used=1, completion_delay=0.002438000s"
0.0034320000000000006,SEGMENT_FORWARD_START,0,1501,day12-retry-flow:packet-1501:segment-0:request-3,,"transfer_id=day12-retry-flow:packet-1501:segment-0:request-3:forward-1, effective_hops=2, payload_bytes=1024"
0.0034320000000000006,DATA_TX,0,1501,day12-retry-flow:packet-1501:segment-0:request-3,DATA,"0->1, link_index=0, payload_bytes=1024"
0.007665,DATA_RX,1,1501,day12-retry-flow:packet-1501:segment-0:request-3,DATA,"from=0, link_index=0"
0.0076749999999999995,H_ACK_TX,1,1501,day12-retry-flow:packet-1501:segment-0:request-3,H_ACK,"1->0, link_index=0"
0.007788,H_ACK_RX,0,1501,day12-retry-flow:packet-1501:segment-0:request-3,H_ACK,"from=1, link_index=0"
0.007797999999999999,DATA_TX,1,1501,day12-retry-flow:packet-1501:segment-0:request-3,DATA,"1->2, link_index=1, payload_bytes=1024"
0.012031,DATA_RX,2,1501,day12-retry-flow:packet-1501:segment-0:request-3,DATA,"from=1, link_index=1"
0.012041,H_ACK_TX,2,1501,day12-retry-flow:packet-1501:segment-0:request-3,H_ACK,"2->1, link_index=1"
0.012154,H_ACK_RX,1,1501,day12-retry-flow:packet-1501:segment-0:request-3,H_ACK,"from=2, link_index=1"
0.012154,SEGMENT_FORWARD_COMPLETE,2,1501,day12-retry-flow:packet-1501:segment-0:request-3,,"transfer_id=day12-retry-flow:packet-1501:segment-0:request-3:forward-1, forwarded_hops=2, packet_node=2, packet_status=FORWARDED, forwarding_delay=0.008722000s"
