protocol,hop_count,load_level,interarrival_time,seed_count,mean_delivery_ratio,mean_average_end_to_end_delay,mean_p95_end_to_end_delay,mean_p99_end_to_end_delay,mean_throughput_bps,mean_collision_or_conflict_events,mean_retransmissions,mean_control_bytes_sent,mean_total_frames_sent,mean_total_bytes_sent,mean_frames_per_created_packet,mean_bytes_per_created_packet,mean_control_bytes_per_delivered_packet,mean_queue_overflow_drops,mean_maximum_segment_queue_length,mean_average_segment_queue_delay,mean_maximum_segment_queue_delay,std_average_end_to_end_delay,all_runs_terminal,all_fixed_resources_released
DCF,2,high,0.008,3,1.0,0.017751916666666666,0.02727133333333333,0.028032933333333333,847584.7976882491,1.0,2.0,224.0,34.0,19268.0,4.25,2408.5,28.0,0.0,0.0,0.0019804166666666685,0.010674000000000052,0.0009341334330989933,1,1
DCF,2,low,0.05,3,1.0,0.009108666666666786,0.009304000000000168,0.009326400000000177,182545.44836890476,0.0,0.0,224.0,32.0,17152.0,4.0,2144.0,28.0,0.0,0.0,0.0,0.0,3.556098048890522e-05,1,1
DCF,2,medium,0.02,3,1.0,0.009108666666666683,0.009304000000000047,0.009326400000000042,439803.759422396,0.0,0.0,224.0,32.0,17152.0,4.0,2144.0,28.0,0.0,0.0,0.0,0.0,3.556098048892144e-05,1,1
DCF,4,high,0.008,3,1.0,0.08135441666666679,0.1039590000000001,0.10469260000000012,416230.43567591504,3.0,6.0,448.0,70.0,40652.0,8.75,5081.5,56.0,0.0,0.0,0.009022760416666687,0.05454566666666686,0.0006975142172985024,1,1
DCF,4,low,0.05,3,1.0,0.01819566666666687,0.018415000000000313,0.018454200000000226,178085.06744953306,0.0,0.0,448.0,64.0,34304.0,8.0,4288.0,56.0,0.0,0.0,0.0,0.0,6.597032161001358e-05,1,1
DCF,4,medium,0.02,3,1.0,0.018195666666666686,0.01841500000000006,0.018454200000000053,414774.8986465769,0.0,0.0,448.0,64.0,34304.0,8.0,4288.0,56.0,0.0,0.0,0.0,0.0,6.597032161005641e-05,1,1
DCF,6,high,0.008,3,1.0,0.15424995833333296,0.186041966666666,0.187224126666666,277296.3587188423,4.666666666666667,9.333333333333334,672.0,105.33333333333333,61330.666666666664,13.166666666666666,7666.333333333333,84.0,0.0,0.0,0.012803284722222192,0.09240966666666656,0.023794195151579437,1,1
DCF,6,low,0.05,3,1.0,0.027350166666666988,0.027723000000000383,0.02775473333333367,173806.81788560608,0.0,0.0,672.0,96.0,51456.0,12.0,6432.0,84.0,0.0,0.0,0.0,0.0,6.370504951204166e-05,1,1
DCF,6,medium,0.02,3,1.0,0.08699624999999962,0.11938163333333274,0.1212171266666661,285950.3749606847,3.0,6.333333333333333,672.0,102.33333333333333,58156.666666666664,12.791666666666666,7269.583333333333,84.0,0.0,0.0,0.0026687499999999793,0.029717999999999883,0.012155555572067586,1,1
Fixed-PRMAC,2,high,0.008,3,1.0,0.017917333333333355,0.025056033333333363,0.025708806666666688,800477.715496085,0.0,0.0,1280.0,80.0,18432.0,10.0,2304.0,160.0,0.0,3.0,0.007973833333333352,0.01587266666666671,0.00022422551891640834,1,1
Fixed-PRMAC,2,low,0.05,3,1.0,0.009943499999999992,0.010052333333333323,0.010057933333333335,182044.78243845142,0.0,0.0,1280.0,80.0,18432.0,10.0,2304.0,160.0,0.0,1.0,0.0,0.0,4.1306779104649015e-05,1,1
Fixed-PRMAC,2,medium,0.02,3,1.0,0.009943500000000001,0.010052333333333332,0.01005793333333332,436908.6205659901,0.0,0.0,1280.0,80.0,18432.0,10.0,2304.0,160.0,0.0,1.0,0.0,0.0,4.130677910464802e-05,1,1
Fixed-PRMAC,4,high,0.008,3,1.0,0.028236166666666684,0.03543803333333332,0.036098273333333306,710318.8283034358,0.0,0.0,2560.0,160.0,36864.0,20.0,4608.0,320.0,0.0,3.0,0.004028583333333342,0.015919333333333365,0.0001373256470340927,1,1
Fixed-PRMAC,4,low,0.05,3,1.0,0.020178999999999992,0.020345000000000023,0.020365533333333352,177010.78583165933,0.0,0.0,2560.0,160.0,36864.0,20.0,4608.0,320.0,0.0,1.0,0.0,0.0,4.8798053239856516e-05,1,1
Fixed-PRMAC,4,medium,0.02,3,1.0,0.020179000000000006,0.020344999999999985,0.020365533333333297,408993.37046794704,0.0,0.0,2560.0,160.0,36864.0,20.0,4608.0,320.0,0.0,1.0,0.0,0.0,4.879805323985625e-05,1,1
Fixed-PRMAC,6,high,0.008,3,1.0,0.038567500000000005,0.045827033333333274,0.04648913999999993,638413.2560501856,0.0,0.0,3840.0,240.0,55296.0,30.0,6912.0,480.0,0.0,3.0,0.0027110000000000046,0.0160126666666667,8.058380730643118e-05,1,1
Fixed-PRMAC,6,low,0.05,3,1.0,0.030434500000000007,0.03067866666666665,0.030697333333333302,172205.51748951935,0.0,0.0,3840.0,240.0,55296.0,30.0,6912.0,480.0,0.0,1.0,0.0,0.0,1.1456439237382887e-05,1,1
Fixed-PRMAC,6,medium,0.02,3,1.0,0.03172483333333335,0.03321586666666686,0.033333840000000226,378172.2714832222,7.333333333333333,7.333333333333333,4720.0,269.3333333333333,56176.0,33.666666666666664,7022.0,590.0,0.0,1.0,0.0,0.0,0.0006298113474155052,1,1
