protocol,hop_count,packet_count,interarrival_time,seed,measurement_end_time,created_packets,delivered_packets,dropped_packets,delivery_ratio,average_end_to_end_delay,p95_end_to_end_delay,p99_end_to_end_delay,maximum_end_to_end_delay,throughput_bps,successful_hops,collision_or_conflict_events,retransmissions,contention_attempts,difs_starts,segment_queue_entries,queue_overflow_drops,maximum_segment_queue_length,average_segment_queue_delay,maximum_segment_queue_delay,control_frames_sent,control_bytes_sent,data_frames_sent,data_bytes_sent,ack_frames_sent,ack_bytes_sent,total_frames_sent,total_bytes_sent,frames_per_created_packet,bytes_per_created_packet,control_bytes_per_delivered_packet,total_segments,completed_segments,active_reservations_after_run,terminal_sessions,load_level
DCF,2,8,0.05,7,0.3588520000000001,8,8,0,1.0,0.009092000000000123,0.00931100000000041,0.009327800000000531,0.009332000000000562,182626.8210850155,16,0,0,16,16,16,0,0,0.0,0.0,16,224,16,16928,16,224,32,17152,4.0,2144.0,28.0,0,0,0,8,low
Fixed-PRMAC,2,8,0.05,7,0.35996599999999995,8,8,0,1.0,0.009940999999999988,0.01005900000000003,0.010064600000000043,0.010066000000000047,182061.6391548091,16,0,0,8,8,8,0,1,0.0,0.0,48,1280,16,16928,16,224,80,18432,10.0,2304.0,160.0,8,8,0,8,low
DCF,2,8,0.05,17,0.35909200000000036,8,8,0,1.0,0.009149500000000102,0.009270999999999925,0.00928779999999997,0.00929199999999998,182504.7620108494,16,0,0,16,16,16,0,0,0.0,0.0,16,224,16,16928,16,224,32,17152,4.0,2144.0,28.0,0,0,0,8,low
Fixed-PRMAC,2,8,0.05,17,0.36002599999999996,8,8,0,1.0,0.00990349999999999,0.010038999999999973,0.010044599999999994,0.010046,182031.29773960772,16,0,0,8,8,8,0,1,0.0,0.0,48,1280,16,16928,16,224,80,18432,10.0,2304.0,160.0,8,8,0,8,low
DCF,2,8,0.05,27,0.35909200000000036,8,8,0,1.0,0.00908450000000013,0.009330000000000168,0.009363600000000033,0.009371999999999998,182504.7620108494,16,0,0,16,16,16,0,0,0.0,0.0,16,224,16,16928,16,224,32,17152,4.0,2144.0,28.0,0,0,0,8,low
Fixed-PRMAC,2,8,0.05,27,0.360006,8,8,0,1.0,0.009985999999999997,0.010058999999999967,0.010064599999999965,0.010065999999999964,182041.41042093743,16,0,0,8,8,8,0,1,0.0,0.0,48,1280,16,16928,16,224,80,18432,10.0,2304.0,160.0,8,8,0,8,low
DCF,2,8,0.02,7,0.14885199999999998,8,8,0,1.0,0.009092000000000024,0.009311000000000088,0.009327800000000134,0.009332000000000146,440276.24754789995,16,0,0,16,16,16,0,0,0.0,0.0,16,224,16,16928,16,224,32,17152,4.0,2144.0,28.0,0,0,0,8,medium
Fixed-PRMAC,2,8,0.02,7,0.14996600000000007,8,8,0,1.0,0.009941,0.010058999999999985,0.010064599999999979,0.010065999999999978,437005.7212968271,16,0,0,8,8,8,0,1,0.0,0.0,48,1280,16,16928,16,224,80,18432,10.0,2304.0,160.0,8,8,0,8,medium
DCF,2,8,0.02,17,0.1490919999999999,8,8,0,1.0,0.009149500000000017,0.009271000000000008,0.009287799999999987,0.00929199999999998,439567.515359644,16,0,0,16,16,16,0,0,0.0,0.0,16,224,16,16928,16,224,32,17152,4.0,2144.0,28.0,0,0,0,8,medium
Fixed-PRMAC,2,8,0.02,17,0.15002600000000008,8,8,0,1.0,0.009903499999999999,0.010039000000000022,0.010044600000000004,0.010046,436830.9493021207,16,0,0,8,8,8,0,1,0.0,0.0,48,1280,16,16928,16,224,80,18432,10.0,2304.0,160.0,8,8,0,8,medium
