tier,mode,protocol,runs,created,delivered,delivery_ratio,losses
tier1,original,dcf,4,4,4,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier1,original,fixed,4,4,4,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier2,causal-forwarding,dcf,9,90,90,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier2,causal-forwarding,fixed,9,90,90,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier2,combined-reference,dcf,9,90,90,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier2,combined-reference,fixed,9,90,90,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier2,k2-segment,dcf,9,90,90,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier2,k2-segment,fixed,9,90,90,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier2,original,dcf,9,90,90,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
tier2,original,fixed,9,90,90,1.0,"{""APP_SEND_REJECTED"": 0, ""DUPLICATE_SUPPRESSED"": 0, ""MAC_QUEUE_DROP"": 0, ""MAC_RETRY_EXHAUSTED"": 0, ""PHY_RX_DROP"": 0, ""PROTOCOL_CONTROL_TIMEOUT"": 0, ""PROTOCOL_RETRY_EXHAUSTED"": 0, ""SIMULATION_STOP_TIMEOUT"": 0, ""SOCKET_BUFFER_DROP"": 0, ""UNKNOWN_LOSS"": 0}"
