source,target,distance_m,rss_dbm,decoded,carrier_sense
0,1,20.0,-76.7189,True,True
0,2,40.0,-88.7601,False,True
0,3,60.0,-95.80375,False,False
0,4,80.0,-100.801299,False,False
0,5,100.0,-104.6777,False,False
0,6,120.0,-107.84495,False,False
1,0,20.0,-76.7189,True,True
1,2,20.0,-76.7189,True,True
1,3,40.0,-88.7601,False,True
1,4,60.0,-95.80375,False,False
1,5,80.0,-100.801299,False,False
1,6,100.0,-104.6777,False,False
2,0,40.0,-88.7601,False,True
2,1,20.0,-76.7189,True,True
2,3,20.0,-76.7189,True,True
2,4,40.0,-88.7601,False,True
2,5,60.0,-95.80375,False,False
2,6,80.0,-100.801299,False,False
3,0,60.0,-95.80375,False,False
3,1,40.0,-88.7601,False,True
3,2,20.0,-76.7189,True,True
3,4,20.0,-76.7189,True,True
3,5,40.0,-88.7601,False,True
3,6,60.0,-95.80375,False,False
4,0,80.0,-100.801299,False,False
4,1,60.0,-95.80375,False,False
4,2,40.0,-88.7601,False,True
4,3,20.0,-76.7189,True,True
4,5,20.0,-76.7189,True,True
4,6,40.0,-88.7601,False,True
5,0,100.0,-104.6777,False,False
5,1,80.0,-100.801299,False,False
5,2,60.0,-95.80375,False,False
5,3,40.0,-88.7601,False,True
5,4,20.0,-76.7189,True,True
5,6,20.0,-76.7189,True,True
6,0,120.0,-107.84495,False,False
6,1,100.0,-104.6777,False,False
6,2,80.0,-100.801299,False,False
6,3,60.0,-95.80375,False,False
6,4,40.0,-88.7601,False,True
6,5,20.0,-76.7189,True,True
