platform,traffic_type,hop_count,load_level,n,mean_delta_delay,fixed_seed_wins,mean_delta_delivery_ratio
ns3,periodic,2,low,10,0.006644012,0,0.0
ns3,periodic,2,medium,10,0.008489712,0,0.0
ns3,periodic,2,high,10,0.17021731669710768,0,-0.46399999999999997
ns3,periodic,4,low,10,0.00880295809756087,1,0.018000000000000006
ns3,periodic,4,medium,10,0.22481843768946877,0,-0.28900000000000003
ns3,periodic,4,high,10,-0.0751489369299867,4,-0.269
ns3,periodic,6,low,10,0.3216973963044212,0,-0.14300000000000002
ns3,periodic,6,medium,10,0.2940078262865791,4,-0.308
ns3,periodic,6,high,10,0.125653474315896,6,-0.183
ns3,poisson,2,low,10,0.011876866143033191,0,0.0
ns3,poisson,2,medium,10,0.0741141866872087,0,-0.0020000000000000018
ns3,poisson,2,high,10,0.18534968031422439,0,-0.374
ns3,poisson,4,low,10,0.047385576510215535,0,0.04
ns3,poisson,4,medium,10,0.21476313332939417,0,-0.265
ns3,poisson,4,high,10,-0.1412407517092053,6,-0.15
ns3,poisson,6,low,10,0.25460717536989724,0,-0.18600000000000003
ns3,poisson,6,medium,10,0.1179451384294689,1,-0.341
ns3,poisson,6,high,10,0.08431597282911017,7,-0.17099999999999999
