traffic_type,hop_count,load_level,n,mean_delta_delay,fixed_seed_wins,bootstrap_ci95_low,bootstrap_ci95_high
periodic,2,low,20,0.0008027650000010288,0,0.0007981796250010514,0.0008076350000010352
periodic,2,medium,20,0.0008027649999994516,0,0.0007981796249994426,0.0008076349999994418
periodic,2,high,20,0.04131257600001487,1,0.031249464350015785,0.05138707910001439
periodic,4,low,20,0.0019397250000022237,0,0.001933209875002183,0.0019466350000022698
periodic,4,medium,20,0.0037443404999988696,0,0.003467029462498854,0.004024412774998867
periodic,4,high,20,-1.1694530150262203,20,-1.2327855532070293,-1.110334516033222
periodic,6,low,20,0.0030753400000033556,0,0.0030676648750032243,0.0030837450000033564
periodic,6,medium,20,-1.6988257051935391,20,-1.771153083513953,-1.6230788235299343
periodic,6,high,20,-2.771778714940267,20,-2.92047308722004,-2.629922339273552
poisson,2,low,20,0.0007621336605749858,0,0.000704703123310775,0.0008158744280275937
poisson,2,medium,20,0.0008587105233961872,0,0.0006937217563831733,0.0010193397211325423
poisson,2,high,20,0.03324149366950088,1,0.023372671560928558,0.042621956220862824
poisson,4,low,20,-0.004943058469290559,20,-0.006187968335136462,-0.003969624469999603
poisson,4,medium,20,-0.18388542302458502,20,-0.23796099365055226,-0.13777337568633527
poisson,4,high,20,-1.1971727227668976,20,-1.2599902605428253,-1.1397091845452259
poisson,6,low,20,-0.03322290911486414,20,-0.04194452581088571,-0.026370757014768834
poisson,6,medium,20,-1.5870559214960474,20,-1.6980946736772256,-1.4706480907494908
poisson,6,high,20,-2.5740917765763887,20,-2.689159761234593,-2.460750423614024
