protocol,hop_count,packet_count,seed,measurement_end_time,created_packets,delivered_packets,dropped_packets,delivery_ratio,average_end_to_end_delay,p50_end_to_end_delay,p95_end_to_end_delay,p99_end_to_end_delay,maximum_end_to_end_delay,throughput_bps,retransmissions,collision_or_conflict_events,contention_attempts,control_frames_sent,control_bytes_sent,data_frames_sent,data_bytes_sent,total_frames_sent,total_bytes_sent,queue_overflow_drops,maximum_queue_length,average_queue_delay,maximum_queue_delay,active_reservations_after_run,terminal_sessions,simulation_end_time,wall_clock_runtime,platform,sensitivity_type,scenario_id,load_level,interarrival_time,successful_hops,difs_starts,segment_queue_entries,maximum_segment_queue_length,average_segment_queue_delay,maximum_segment_queue_delay,ack_frames_sent,ack_bytes_sent,frames_per_created_packet,bytes_per_created_packet,control_bytes_per_delivered_packet,total_segments,completed_segments,per_flow_metrics,flow_count,jain_fairness,multiflow_scenario,traffic_type
DCF,4,200,7,4.012953000000038,200,200,0,1.0,0.0724090550000016,0.07826700000000109,0.09984140000000737,0.11647894000000553,0.12520299999997175,408277.8941093964,117,58,917,800,11200,917,970186,1717,981386,0,0,0.0077976575000000626,0.0,0,200,4.012953000000038,0.33791259999998147,python,burst,python-burst-4hop-medium-seed-7-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,7,3.961416000000001,200,200,0,1.0,0.0387425000000003,,0.05745800000000347,0.05763599999999958,0.05765599999999926,413589.4841642482,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.10647850000168546,python,burst,python-burst-4hop-medium-seed-7-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.00928905000000006,0.037332000000000226,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,17,3.994803000000016,200,200,0,1.0,0.07362620000000812,0.08159799999999462,0.0994210000000035,0.11320866999997839,0.12278200000002171,410132.865125012,114,57,914,800,11200,914,967012,1714,978212,0,0,0.007592513750001331,0.0,0,200,3.994803000000016,0.3939159000001382,python,burst,python-burst-4hop-medium-seed-17-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,17,3.961596000000002,200,200,0,1.0,0.038715400000000344,,0.05739699999999887,0.0575959999999998,0.057675999999999394,413570.6922159653,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.11353919999965001,python,burst,python-burst-4hop-medium-seed-17-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.00927835000000008,0.03737199999999952,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,27,4.003875000000018,200,200,0,1.0,0.07279962000000173,0.07749400000000595,0.09802655000003985,0.10001433000001575,0.1086440000000003,409203.5840279711,126,63,926,800,11200,926,979708,1726,990908,0,0,0.0076404512500000835,0.0,0,200,4.003875000000018,0.36405999999988126,python,burst,python-burst-4hop-medium-seed-27-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,27,3.961136000000002,200,200,0,1.0,0.03871370000000036,,0.05737599999999878,0.057676399999998955,0.05779599999999929,413618.71947845246,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.09715159999905154,python,burst,python-burst-4hop-medium-seed-27-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009277900000000084,0.03745200000000293,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,37,3.994606000000014,200,200,0,1.0,0.0723042550000046,0.07809650000000157,0.09564914999999996,0.09959760000001354,0.10099500000002282,410153.09144381055,119,59,919,800,11200,919,972302,1719,983502,0,0,0.007567163750000634,0.0,0,200,3.994606000000014,0.31912349999765866,python,burst,python-burst-4hop-medium-seed-37-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,37,3.961356000000001,200,200,0,1.0,0.0387595000000003,,0.05749599999999894,0.05765639999999931,0.05771599999999877,413595.7485265145,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.12231249999967986,python,burst,python-burst-4hop-medium-seed-37-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.009292800000000061,0.03739200000000298,800,11200,20.0,4608.0,320.0,400,400,,,,,
DCF,4,200,47,3.9897000000000107,200,200,0,1.0,0.06871685500000226,0.0740420000000041,0.09519400000001377,0.1005223099999823,0.10858199999998108,410657.4429155063,101,49,901,800,11200,901,953258,1701,964458,0,0,0.006924392500000189,0.0,0,200,3.9897000000000107,0.3386242000015045,python,burst,python-burst-4hop-medium-seed-47-DCF,medium,,,,,,,,,,,,,,,,,,,
Fixed-PRMAC,4,200,47,3.9608960000000017,200,200,0,1.0,0.03871800000000034,,0.05743600000000019,0.05757619999999846,0.057635999999999576,413643.7816090095,0,0,400,2400,64000,800,846400,4000,921600,0,,,,0,200,,0.10066739999820129,python,burst,python-burst-4hop-medium-seed-47-Fixed-PRMAC,medium,0.019618090452261316,800,400,400,5,0.00928460000000008,0.03737200000000285,800,11200,20.0,4608.0,320.0,400,400,,,,,
