cell,metric,dcf_mean,fixed_mean,paired_mean_difference,median_paired_difference,win_count,loss_count,tie_count,bootstrap_ci95,worst_seed_difference
4-high-periodic,average_e2e_delay,0.4163138270652274,1.6754572849541014,1.259143457888874,1.223029765793699,0,20,0,"[1.2020247438367329, 1.3303018714637136]",1.6879166084656083
4-high-periodic,p95_e2e_delay,0.6066122075,1.7671610825,1.160548875,1.12988395,0,20,0,"[1.0794508, 1.257436905]",1.7344275999999996
4-high-periodic,delivery_ratio,0.6605000000000001,0.1365,-0.524,-0.5175000000000001,0,20,0,"[-0.5349999999999999, -0.51325]",-0.565
4-high-periodic,throughput_bps,509417.5633308267,75254.39988475674,-434163.16344607004,-430221.68431687274,0,20,0,"[-444652.95361561404, -423752.98105037055]",-470648.9955634518
4-high-poisson,average_e2e_delay,0.4131876836525977,2.2664850221779362,1.8532973385253388,1.855547868996662,0,20,0,"[1.7296701896775477, 1.9746606084813934]",2.4388967502403847
4-high-poisson,p95_e2e_delay,0.5970291275,2.8435795825,2.246550455,2.1700899750000002,0,20,0,"[2.0929699874999996, 2.40585232]",3.00599005
4-high-poisson,delivery_ratio,0.6765,0.30525,-0.37124999999999997,-0.385,0,20,0,"[-0.40374999999999994, -0.33775]",-0.49
4-high-poisson,throughput_bps,510642.4794215655,134705.9110817925,-375936.56833977305,-382266.436146945,0,20,0,"[-390480.83095955616, -361525.44116215257]",-441106.0364266011
4-medium-periodic,average_e2e_delay,0.018702,1.2001324187960287,1.1814304187960287,1.222368361556064,0,20,0,"[1.1285169005842444, 1.2266981494576197]",1.3098427083333333
4-medium-periodic,p95_e2e_delay,0.018702,1.3637336174999999,1.3450316174999999,1.3843423,0,20,0,"[1.278349605, 1.4003056575]",1.5004213499999999
4-medium-periodic,delivery_ratio,1.0,0.10425,-0.8957499999999999,-0.895,0,20,0,"[-0.9, -0.89175]",-0.92
4-medium-periodic,throughput_bps,409732.95834498294,34130.72660598765,-375602.2317389953,-375437.7842782682,0,20,0,"[-376835.0787503136, -374445.7228978318]",-382133.3738379956
4-medium-poisson,average_e2e_delay,0.04522215929990864,1.7856739231265348,1.7404517638266264,1.7658629620745043,0,20,0,"[1.6434893936643438, 1.82408478163635]",2.029693683965517
4-medium-poisson,p95_e2e_delay,0.11213654249999998,2.548402685,2.4362661425,2.436008775,0,20,0,"[2.3408051700000003, 2.5295973225]",2.9357679500000002
4-medium-poisson,delivery_ratio,0.99925,0.608,-0.39125,-0.385,0,20,0,"[-0.42024999999999996, -0.36275]",-0.515
4-medium-poisson,throughput_bps,400223.5664805702,176230.4423059944,-223993.12417457585,-220457.00335510977,0,20,0,"[-238198.59767323476, -209720.18680186314]",-292898.7274343314
6-high-periodic,average_e2e_delay,0.4230525383962692,2.263277297205281,1.8402247588090117,1.7971802754426711,0,20,0,"[1.7693138210178596, 1.9259612896784657]",2.3888602572838344
6-high-periodic,p95_e2e_delay,0.6148949225,2.35287106,1.7379761375,1.713381,0,20,0,"[1.6507626075000001, 1.84110859]",2.4342396
6-high-periodic,delivery_ratio,0.65025,0.12525,-0.525,-0.535,0,20,0,"[-0.542, -0.5075000000000001]",-0.605
6-high-periodic,throughput_bps,499245.21562163474,57671.75699069117,-441573.45863094355,-453290.4452577161,0,20,0,"[-452962.81325699127, -429489.00837143196]",-481559.0900509976
6-high-poisson,average_e2e_delay,0.42025673956658827,2.783721839985729,2.3634651004191407,2.3792347208726397,0,20,0,"[2.2528861062892793, 2.474639084012362]",2.851507230243903
6-high-poisson,p95_e2e_delay,0.6052818674999999,3.5034822475,2.89820038,2.80358415,0,20,0,"[2.74330667, 3.06940205]",3.74682075
6-high-poisson,delivery_ratio,0.6537499999999999,0.24425,-0.4095,-0.41500000000000004,0,20,0,"[-0.43875000000000003, -0.37925]",-0.5299999999999999
6-high-poisson,throughput_bps,496110.85008942196,91673.6658621039,-404437.1842273181,-411725.3677533297,0,20,0,"[-418726.82680428174, -389061.56550246454]",-468942.0650955826
6-medium-periodic,average_e2e_delay,0.028181999999999995,1.6294396244863432,1.6012576244863432,1.6437554102941176,0,20,0,"[1.5103992251722365, 1.680143113703754]",1.8342106086956524
6-medium-periodic,p95_e2e_delay,0.028181999999999995,1.8025780050000002,1.7743960050000003,1.8203863500000002,0,20,0,"[1.6837690250000001, 1.8583841424999998]",2.0206247999999998
6-medium-periodic,delivery_ratio,1.0,0.09725,-0.9027499999999999,-0.9,0,20,0,"[-0.908, -0.89775]",-0.925
6-medium-periodic,throughput_bps,408763.8734967624,29230.889184971427,-379532.984311791,-378969.39523819345,0,20,0,"[-380873.7068372631, -378222.4627188117]",-385714.3208978072
6-medium-poisson,average_e2e_delay,0.05689131720663926,2.2715473555325305,2.214656038325891,2.248702467108262,0,20,0,"[2.098192838377833, 2.3279515519016734]",2.661121085882353
6-medium-poisson,p95_e2e_delay,0.12597084749999996,3.3654227225,3.2394518749999994,3.15013585,0,20,0,"[3.0879076574999997, 3.4045554449999997]",4.2933816
6-medium-poisson,delivery_ratio,0.99925,0.51075,-0.4885,-0.495,0,20,0,"[-0.509, -0.46699999999999997]",-0.575
6-medium-poisson,throughput_bps,399116.49459764373,129605.35304540119,-269511.14155224257,-269134.7866235729,0,20,0,"[-281908.51867750566, -256697.34624721008]",-318876.1401024482
